data; 
param n := 100;

param x : 1 2 3 4 :=
1	0.334	0.167	0.794	0.145
2	0.007	0.028	0.059	0.805
3	0.125	0.34	0.244	0.029
4	0.09	0.704	0.05	0.415
5	0.466	0.563	0.812	0.709
6	0.56	0.583	0.9	0.342
7	0.499	0.234	0.872	0.158
8	0.855	0.947	0.805	0.415
9	0.495	0.554	0.348	0.342
10	0.339	0.53	0.384	0.39
11	0.883	0.779	0.908	0.759
12	0.508	0.441	0.343	0.615
13	0.378	0.587	0.601	0.321
14	0.007	0.898	0.868	0.061
15	0.022	0.374	0.748	0.364
16	0.232	0.767	0.018	0.145
17	0.362	0.03	0.649	0.384
18	0.3	0.858	0.419	0.772
19	0.582	0.971	0.09	0.564
20	0.982	0.796	0.68	0.657
21	0.024	0.356	0.969	0.316
22	0.033	0.243	0.489	0.944
23	0.79	0.751	0.762	0.855
24	0.196	0.578	0.439	0.964
25	0.373	0.275	0.617	0.269
26	0.542	0.132	0.959	0.968
27	0.659	0.916	0.447	0.743
28	0.553	0.947	0.031	0.009
29	0.527	0.775	0.054	0.647
30	0.155	0.333	0.531	0.861
31	0.065	0.004	0.545	0.519
32	0.82	0.121	0.765	0.498
33	0.629	0.991	0.706	0.212
34	0.797	0.712	0.173	0.503
35	0.603	0.469	0.485	0.004
36	0.952	0.662	0.166	0.707
37	0.028	0.314	0.572	0.937
38	0.326	0.817	0.384	0.477
39	0.4	0.354	0.346	0.832
40	0.828	0.904	0.835	0.537
41	0.044	0.234	0.328	0.841
42	0.266	0.298	0.055	0.1
43	0.645	0.845	0.821	0.683
44	0.647	0.372	0.299	0.591
45	0.884	0.713	0.848	0.55
46	0.099	0.652	0.344	0.424
47	0.845	0.616	0.801	0.642
48	0.003	0.227	0.677	0.985
49	0.772	0.342	0.471	0.49
50	0.355	0.37	0.376	0.337
51	0.357	0.378	0.151	0.613
52	0.681	0.159	0.5	0.107
53	0.567	0.795	0.823	0.613
54	0.202	0.488	0.52	0.997
55	0.815	0.917	0.414	0.331
56	0.106	0.678	0.116	0.094
57	0.004	0.333	0.304	0.983
58	0.741	0.184	0.248	0.11
59	0.318	0.047	0.377	0.551
60	0.735	0.772	0.972	0.879
61	0.916	0.554	0.305	0.362
62	0.175	0.074	0.529	0.82
63	0.432	0.397	0.678	0.298
64	0.228	0.584	0.77	0.448
65	0.374	0.205	0.223	0.156
66	0.467	0.574	0.721	0.721
67	0.185	0.128	0.61	0.866
68	0.72	0.716	0.19	0.803
69	0.597	0.063	0.927	0.648
70	0.666	0.021	0.837	0.213
71	0.497	0.252	0.299	0.886
72	0.72	0.651	0.253	0.992
73	0.512	0.875	0.076	0.669
74	0.207	0.931	0.391	0.073
75	0.544	0.192	0.142	0.669
76	0.426	0.944	0.355	0.13
77	0.13	0.873	0.693	0.488
78	0.176	0.296	0.128	0.382
79	0.422	0.386	0.127	0.842
80	0.717	0.353	0.513	0.79
81	0.373	0.9	0.912	0.208
82	0.113	0.333	0.418	0.496
83	0.061	0.197	0.224	0.82
84	0.632	0.553	0.844	0.696
85	0.346	0.578	0.575	0.184
86	0.756	0.923	0.481	0.133
87	0.583	0.599	0.808	0.107
88	0.979	0.266	0.624	0.552
89	0.416	0.75	0.912	0.61
90	0.251	0.183	0.993	0.151
91	0.117	0.779	0.255	0.81
92	0.354	0.177	0.581	0.241
93	0.612	0.275	0.784	0.309
94	0.765	0.46	0.39	0.231
95	0.478	0.04	0.8	0.117
96	0.782	0.295	0.219	0.762
97	0.145	0.879	0.428	0.81
98	0.442	0.719	0.395	0.388
99	0.267	0.277	0.953	0.537
100	0.219	0.802	0.648	0.914 ;

param y :=
1	-1
2	-1
3	-1
4	-1
5	1
6	1
7	-1
8	1
9	-1
10	-1
11	1
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	1
19	1
20	1
21	-1
22	-1
23	1
24	1
25	-1
26	1
27	1
28	-1
29	1
30	-1
31	-1
32	1
33	1
34	1
35	-1
36	1
37	-1
38	1
39	-1
40	1
41	-1
42	-1
43	1
44	-1
45	1
46	-1
47	1
48	-1
49	1
50	-1
51	-1
52	-1
53	1
54	1
55	1
56	-1
57	-1
58	-1
59	-1
60	1
61	1
62	-1
63	-1
64	1
65	-1
66	1
67	-1
68	1
69	1
70	-1
71	-1
72	1
73	1
74	-1
75	-1
76	-1
77	1
78	-1
79	-1
80	1
81	1
82	-1
83	-1
84	1
85	-1
86	1
87	1
88	1
89	1
90	-1
91	-1
92	-1
93	-1
94	-1
95	-1
96	1
97	1
98	-1
99	1
100	1;

