data; 
param n := 100;

param c:= 0.5; #% Big M;

param x : 1 2 3 4 :=
1	0.558	0.497	0.246	0.582
2	0.473	0.408	0.433	0.093
3	0.938	0.374	0.129	0.71
4	0.306	0.879	0.146	0.512
5	0.745	0.862	0.006	0.862
6	0.269	0.277	0.715	0.639
7	0.199	0.094	0.416	0.643
8	0.632	0.543	0.142	0.809
9	0.373	0.847	0.858	0.66
10	0.789	0.311	0.632	0.404
11	0.06	0.558	0.873	0.77
12	0.852	0.113	0.061	0.2
13	0.446	0.952	0.253	0.273
14	0.805	0.285	0.114	0.362
15	0.465	0.903	0.666	0.353
16	0.454	0.152	0.635	0.72
17	0.968	0.383	0.442	0.847
18	0.383	0.118	0.527	0.527
19	0.061	0.676	0.214	0.459
20	0.471	0.191	0.888	0.945
21	0.281	0.141	0.825	0.469
22	0.953	0.314	0.5	0.1
23	0.744	0.3	0.409	0.44
24	0.995	0.801	0.046	0.881
25	0.275	0.535	0.045	0.002
26	0.064	0.298	0.027	0.786
27	0.779	0.849	0.909	0.164
28	0.542	0.148	0.996	0.22
29	0.984	0.512	0.62	0.321
30	0.754	0.948	0.003	0.819
31	0.263	0.791	0.549	0.918
32	0.392	0.567	0.684	0.761
33	0.607	0.716	0.386	0.101
34	0.924	0.094	0.844	0.718
35	0.209	0.843	0.39	0.375
36	0.598	0.187	0.372	0.269
37	0.485	0.687	0.538	0.825
38	0.623	0.277	0.353	0.322
39	0.05	0.607	0.447	0.551
40	0.787	0.133	0.157	0.554
41	0.065	0.092	0.545	0.158
42	0.67	0.527	0.485	0.108
43	0.82	0.13	0.613	0.138
44	0.436	0.34	0.643	0.05
45	0.379	0.414	0.729	0.342
46	0.489	0.47	0.174	0.352
47	0.815	0.063	0.831	0.127
48	0.756	0.514	0.205	0.685
49	0.075	0.981	0.778	0.78
50	0.585	0.522	0.861	0.146
51	0.998	0.555	0.026	0.137
52	0.859	0.256	0.713	0.301
53	0.527	0.771	0.98	0.456
54	0.566	0.463	0.91	0.808
55	0.949	0.549	0.835	0.343
56	0.354	0.904	0.156	0.438
57	0.051	0.867	0.462	0.342
58	0.104	0.168	0.528	0.716
59	0.612	0.641	0.672	0.406
60	0.033	0.104	0.042	0.729
61	0.776	0.999	0.212	0.467
62	0.751	0.777	0.382	0.097
63	0.658	0.141	0.154	0.334
64	0.796	0.649	0.009	0.712
65	0.176	0.049	0.16	0.785
66	0.024	0.09	0.548	0.804
67	0.705	0.515	0.411	0.654
68	0.482	0.617	0.533	0.329
69	0.811	0.958	0.113	0.504
70	0.64	0.456	0.956	0.607
71	0.213	0.842	0.334	0.814
72	0.755	0.342	0.142	0.896
73	0.312	0.908	0.811	0.045
74	0.338	0.956	0.981	0.036
75	0.308	0.459	0.264	0.226
76	0.699	0.245	0.055	0.825
77	0.122	0.212	0.891	0.261
78	0.171	0.139	0.348	0.302
79	0.331	0.442	0.178	0.842
80	0.288	0.052	0.639	0.878
81	0.042	0.802	0.047	0.102
82	0.688	0.11	0.994	0.333
83	0.387	0.081	0.887	0.685
84	0.38	0.445	0.589	0.237
85	0.106	0.73	0.152	0.359
86	0.899	0.245	0.05	0.446
87	0.678	0.007	0.284	0.223
88	0.388	0.662	0.253	0.169
89	0.819	0.585	0.638	0.657
90	0.45	0.316	0.602	0.701
91	0.904	0.123	0.173	0.018
92	0.294	0.087	0.992	0.569
93	0.286	0.226	0.905	0.341
94	0.886	0.297	0.379	0.451
95	0.5	0.998	0.705	0.524
96	0.157	0.353	0.986	0.159
97	0.262	0.753	0.051	0.431
98	0.44	0.648	0.032	0.138
99	0.011	0.882	0.967	0.47
100	0.768	0.995	0.398	0.629;

param y :=
1	-1
2	-1
3	1
4	-1
5	1
6	-1
7	-1
8	1
9	1
10	1
11	1
12	-1
13	-1
14	-1
15	1
16	-1
17	1
18	-1
19	-1
20	1
21	-1
22	-1
23	-1
24	1
25	-1
26	-1
27	1
28	-1
29	1
30	1
31	1
32	1
33	-1
34	1
35	-1
36	-1
37	1
38	-1
39	-1
40	-1
41	-1
42	1
43	-1
44	-1
45	-1
46	-1
47	-1
48	1
49	1
50	1
51	-1
52	1
53	1
54	1
55	1
56	-1
57	-1
58	-1
59	1
60	-1
61	1
62	1
63	-1
64	1
65	-1
66	-1
67	1
68	-1
69	1
70	1
71	1
72	1
73	-1
74	1
75	-1
76	-1
77	-1
78	-1
79	-1
80	-1
81	1
82	1
83	1
84	-1
85	-1
86	-1
87	-1
88	-1
89	1
90	1
91	-1
92	-1
93	-1
94	-1
95	1
96	-1
97	-1
98	-1
99	1
100	1;
